timestamp,nupl,nup,nul
2024-04-20,0.56063274,0.56611918,0.00656637
2024-04-21,0.56039917,0.56691704,0.00644197
2024-04-22,0.57227883,0.57606132,0.00345423
2024-04-23,0.56936961,0.57335747,0.00388109
2024-04-24,0.55273757,0.56143674,0.00766744
2024-04-25,0.55417157,0.56259506,0.00696701
2024-04-26,0.54895552,0.55802456,0.00845595
2024-04-27,0.54666961,0.55499884,0.00929452
2024-04-28,0.54366958,0.54973742,0.01071148
2024-04-29,0.54878655,0.55675629,0.0081385
2024-04-30,0.52471859,0.54199533,0.01635411
2024-05-01,0.50623295,0.53041886,0.02368995
2024-05-02,0.51269037,0.53451221,0.02053922
2024-05-03,0.54195771,0.55625009,0.00915615
2024-05-04,0.54896466,0.55488106,0.00788811
2024-05-05,0.54964226,0.55750803,0.00732898
2024-05-06,0.54321571,0.5527528,0.0091385
2024-05-07,0.53673164,0.54815177,0.01116729
2024-05-08,0.52784244,0.54262918,0.01403139
2024-05-09,0.54176055,0.55121161,0.00909019
2024-05-10,0.5245588,0.54128173,0.01481587
2024-05-11,0.52454616,0.53911381,0.01513201
2024-05-12,0.52934346,0.54200465,0.01321055
2024-05-13,0.54005553,0.54881063,0.00941087
2024-05-14,0.52956473,0.54252294,0.0127352
2024-05-15,0.56132615,0.56501327,0.00353669
2024-05-16,0.55421398,0.55960554,0.00497179
2024-05-17,0.56554406,0.56706504,0.00265878
2024-05-18,0.5646394,0.56861637,0.002605
2024-05-19,0.56011498,0.56301793,0.00358522
2024-05-20,0.59123951,0.59150402,0.00023369
2024-05-21,0.58258105,0.58427751,0.0006521
2024-05-22,0.57604258,0.57700744,0.00125657
2024-05-23,0.5679935,0.57003582,0.00225644
2024-05-24,0.57143021,0.57473771,0.00150735
2024-05-25,0.5758114,0.57629131,0.00109988
2024-05-26,0.57058749,0.57228438,0.00167035
2024-05-27,0.57566553,0.57628321,0.00102435
2024-05-28,0.56179875,0.56429389,0.00174697
2024-05-29,0.55644865,0.55904984,0.00270519
2024-05-30,0.5610338,0.56287282,0.00178518
2024-05-31,0.55535538,0.55555148,0.00305361
2024-06-01,0.5567206,0.55880193,0.00249689
2024-06-02,0.55655077,0.55996925,0.00236774
2024-06-03,0.56247768,0.56364544,0.00138065
2024-06-04,0.57272099,0.57405716,0.00044478
2024-06-05,0.57544138,0.57562424,0.00031029
2024-06-06,0.57223546,0.57311707,0.00042813
2024-06-07,0.56271817,0.56422396,0.00142652
2024-06-08,0.56243728,0.56372941,0.00140373
2024-06-09,0.56434031,0.56549377,0.0011305
2024-06-10,0.5634126,0.56369377,0.00122796
2024-06-11,0.54810103,0.55205329,0.00384452
2024-06-12,0.553927,0.55627352,0.00242156
2024-06-13,0.54368696,0.54873117,0.00482503
2024-06-14,0.53858384,0.54454087,0.00628175
2024-06-15,0.53958243,0.54544473,0.0057318
2024-06-16,0.54268297,0.54686912,0.00486204
2024-06-17,0.541296,0.54572603,0.00509039
2024-06-18,0.53199465,0.53996196,0.00785422
2024-06-19,0.53034342,0.53784111,0.00844332
2024-06-20,0.52941859,0.53818629,0.00844463
2024-06-21,0.52379724,0.53329565,0.01041635
2024-06-22,0.52323042,0.53357338,0.00984719
2024-06-23,0.51530147,0.5279179,0.01310094
2024-06-24,0.49209664,0.51541664,0.02270784
2024-06-25,0.50471859,0.52120385,0.01700328
2024-06-26,0.49699647,0.51594321,0.02024306
2024-06-27,0.50275499,0.51862382,0.01703496
2024-06-28,0.49186739,0.5129962,0.02156609
2024-06-29,0.496542,0.51581594,0.01917976
2024-06-30,0.51102587,0.52334838,0.01344686
2024-07-01,0.51138223,0.5250496,0.01276889
2024-07-02,0.50548918,0.51965599,0.01529548
2024-07-03,0.4890856,0.51295068,0.02155967
2024-07-04,0.46102588,0.498024,0.03523602
2024-07-05,0.45725374,0.49519443,0.03620986
2024-07-06,0.47217178,0.50197096,0.02873828
2024-07-07,0.44952223,0.49063992,0.04028655
2024-07-08,0.45843994,0.4934839,0.03554126
2024-07-09,0.47046501,0.49948136,0.02914557
2024-07-10,0.46724087,0.49758719,0.03043753
2024-07-11,0.46384714,0.4958165,0.03193486
2024-07-12,0.46869219,0.4980172,0.02938369
2024-07-13,0.48029294,0.50418806,0.0239453
2024-07-14,0.49358005,0.51092525,0.01816477
2024-07-15,0.52349003,0.53237489,0.0070905
2024-07-16,0.52532948,0.53276432,0.00640456
2024-07-17,0.51758762,0.52715183,0.0084541
2024-07-18,0.51634746,0.52472565,0.00889951
