timestamp,average_dormancy,sa_average_dormancy
2022-08-25,1.14923692,6e-08
2022-08-26,2.06162731,1.1e-07
2022-08-27,1.27141831,7e-08
2022-08-28,9.81614944,5.1e-07
2022-08-29,5.15912096,2.7e-07
2022-08-30,3.23626271,1.7e-07
2022-08-31,0.89371824,5e-08
2022-09-01,1.39568133,7e-08
2022-09-02,1.5940676,8e-08
2022-09-03,1.68270848,9e-08
2022-09-04,6.96803396,3.6e-07
2022-09-05,0.78391951,4e-08
2022-09-06,1.80301426,9e-08
2022-09-07,1.2316476,6e-08
2022-09-08,0.87791132,5e-08
2022-09-09,1.13414554,6e-08
2022-09-10,1.29983893,7e-08
2022-09-11,2.27746567,1.2e-07
2022-09-12,1.80175924,9e-08
2022-09-13,5.55709452,2.9e-07
2022-09-14,1.58180301,8e-08
2022-09-15,1.66726424,9e-08
2022-09-16,1.05316249,5e-08
2022-09-17,1.25780279,7e-08
2022-09-18,0.83244741,4e-08
2022-09-19,2.65281809,1.4e-07
2022-09-20,1.29854832,7e-08
2022-09-21,1.5266483,8e-08
2022-09-22,1.36621516,7e-08
2022-09-23,1.61613623,8e-08
2022-09-24,0.99123939,5e-08
2022-09-25,1.44159437,8e-08
2022-09-26,1.53551646,8e-08
2022-09-27,4.04551773,2.1e-07
2022-09-28,1.84847926,1e-07
2022-09-29,2.19266267,1.1e-07
2022-09-30,3.32688094,1.7e-07
2022-10-01,1.6105183,8e-08
2022-10-02,1.73670456,9e-08
2022-10-03,1.82461252,1e-07
2022-10-04,2.19772253,1.1e-07
2022-10-05,3.50220802,1.8e-07
2022-10-06,2.99133619,1.6e-07
2022-10-07,3.74835046,2e-07
2022-10-08,3.28799805,1.7e-07
2022-10-09,1.14276721,6e-08
2022-10-10,1.98724203,1e-07
2022-10-11,2.49700517,1.3e-07
2022-10-12,4.01824129,2.1e-07
2022-10-13,1.77229006,9e-08
2022-10-14,2.45896661,1.3e-07
2022-10-15,2.08829515,1.1e-07
2022-10-16,3.88481684,2e-07
2022-10-17,15.25350872,8e-07
2022-10-18,24.66154452,1.29e-06
2022-10-19,3.41106465,1.8e-07
2022-10-20,1.85178034,1e-07
2022-10-21,2.48129286,1.3e-07
2022-10-22,10.85753636,5.7e-07
2022-10-23,1.90468008,1e-07
2022-10-24,2.43212259,1.3e-07
2022-10-25,6.45590243,3.4e-07
2022-10-26,7.5100109,3.9e-07
2022-10-27,4.69385612,2.4e-07
2022-10-28,2.59490229,1.4e-07
2022-10-29,1.89546722,1e-07
2022-10-30,2.26887944,1.2e-07
2022-10-31,3.02955307,1.6e-07
2022-11-01,3.23772885,1.7e-07
2022-11-02,7.42049608,3.9e-07
2022-11-03,2.36729164,1.2e-07
2022-11-04,10.4302041,5.4e-07
2022-11-05,4.80825334,2.5e-07
2022-11-06,2.30530596,1.2e-07
2022-11-07,5.32230707,2.8e-07
2022-11-08,6.53938123,3.4e-07
2022-11-09,7.13278915,3.7e-07
2022-11-10,4.27758889,2.2e-07
2022-11-11,11.60374717,6e-07
2022-11-12,12.35009846,6.4e-07
2022-11-13,1.33910951,7e-08
2022-11-14,4.41702234,2.3e-07
2022-11-15,5.27227642,2.7e-07
2022-11-16,16.0554424,8.4e-07
2022-11-17,11.77811798,6.1e-07
2022-11-18,42.05600204,2.19e-06
2022-11-19,3.44829596,1.8e-07
2022-11-20,5.70800767,3e-07
2022-11-21,7.38412152,3.8e-07
2022-11-22,10.75651974,5.6e-07
2022-11-23,68.19428085,3.55e-06
2022-11-24,9.50628634,4.9e-07
2022-11-25,3.96529864,2.1e-07
2022-11-26,5.18064274,2.7e-07
2022-11-27,5.38080763,2.8e-07
2022-11-28,9.86542497,5.1e-07
2022-11-29,9.01823247,4.7e-07
2022-11-30,8.33329646,4.3e-07
2022-12-01,15.66290521,8.1e-07
2022-12-02,11.16219075,5.8e-07
2022-12-03,4.57860683,2.4e-07
2022-12-04,10.12114489,5.3e-07
2022-12-05,18.25570972,9.5e-07
2022-12-06,9.58065096,5e-07
2022-12-07,5.98168308,3.1e-07
2022-12-08,6.34514727,3.3e-07
2022-12-09,13.12932782,6.8e-07
2022-12-10,6.6701249,3.5e-07
2022-12-11,7.58973993,3.9e-07
2022-12-12,6.61831652,3.4e-07
2022-12-13,8.81639762,4.6e-07
2022-12-14,9.40159004,4.9e-07
2022-12-15,5.34245553,2.8e-07
2022-12-16,7.29427147,3.8e-07
2022-12-17,7.64671222,4e-07
2022-12-18,5.65895787,2.9e-07
2022-12-19,13.5412278,7e-07
2022-12-20,4.25434005,2.2e-07
2022-12-21,8.14468453,4.2e-07
2022-12-22,7.87602638,4.1e-07
2022-12-23,10.75850729,5.6e-07
2022-12-24,6.44042866,3.3e-07
