timestamp,cdd,sa_cdd,average_sa_cdd,binary_cdd
2024-01-30,21758336.81066358,1.10935076,0.52235599,1
2024-01-31,19900307.45120949,1.01457661,0.52244537,1
2024-02-01,10345869.16109488,0.52743734,0.52244628,1
2024-02-02,13241355.66485155,0.67501018,0.52247397,1
2024-02-03,2108800.05260173,0.10749602,0.52239866,0
2024-02-04,6834907.28316775,0.34839199,0.52236709,0
2024-02-05,11560900.57797096,0.58925818,0.52237923,1
2024-02-06,26870771.27994,1.36952689,0.52253289,1
2024-02-07,9690567.92644233,0.49387555,0.52252769,0
2024-02-08,8418381.52730411,0.42902027,0.52251073,0
2024-02-09,9831923.74965176,0.50103117,0.52250684,0
2024-02-10,5878861.67965284,0.2995701,0.52246643,0
2024-02-11,6269919.23577524,0.31948334,0.52242964,0
2024-02-12,13913558.67830727,0.7089241,0.52246343,1
2024-02-13,10759857.92448355,0.54821307,0.52246809,1
2024-02-14,23809983.95120543,1.21306124,0.52259317,1
2024-02-15,14575119.14494043,0.74253004,0.522633,1
2024-02-16,14483542.39256574,0.73783317,0.52267196,1
2024-02-17,5590980.74976154,0.28480699,0.5226289,0
2024-02-18,5065946.16792574,0.25805156,0.52258101,0
2024-02-19,40958353.46337471,2.0862656,0.52286398,1
2024-02-20,9223281.21528767,0.46977842,0.52285438,0
2024-02-21,13202434.07246511,0.67242297,0.52288144,1
2024-02-22,20106380.48559347,1.02400899,0.52297208,1
2024-02-23,15106090.50879468,0.76930752,0.52301663,1
2024-02-24,4575768.18498042,0.23301988,0.5229642,0
2024-02-25,4858860.94155409,0.24742339,0.52291439,0
2024-02-26,11306366.14390166,0.57571951,0.52292393,1
2024-02-27,18754894.27453893,0.95495893,0.523002,1
2024-02-28,48440873.3462587,2.46638827,0.52335311,1
2024-02-29,30933378.99701588,1.57491988,0.52354306,1
2024-03-01,67343122.90153684,3.42849146,0.5240677,1
2024-03-02,6313011.81226296,0.32138742,0.5240311,0
2024-03-03,7484189.69033473,0.38099181,0.52400528,0
2024-03-04,28035689.43207765,1.42713241,0.5241683,1
2024-03-05,45535434.42274374,2.31781857,0.52449201,1
2024-03-06,69392562.93536471,3.53202314,0.52503469,1
2024-03-07,33571741.95554453,1.70867561,0.52524823,1
2024-03-08,29857001.96896148,1.51953486,0.52542757,1
2024-03-09,10430909.9358888,0.53084062,0.52542855,1
2024-03-10,20426443.5466058,1.03947718,0.52552124,1
2024-03-11,27911671.33695169,1.42031463,0.52568255,1
2024-03-12,20981960.81520889,1.06764118,0.52578024,1
2024-03-13,32856681.5227967,1.67178662,0.52598676,1
2024-03-14,37435046.75296548,1.90465382,0.52623517,1
2024-03-15,16840719.93994071,0.85680262,0.52629472,1
2024-03-16,7301868.43280958,0.37147899,0.52626684,0
2024-03-17,36949120.91571912,1.8796812,0.52651057,1
2024-03-18,16637205.45567998,0.84633165,0.52656815,1
2024-03-19,13189325.89451114,0.67090515,0.52659413,1
2024-03-20,14487198.35815617,0.73688949,0.52663198,1
2024-03-21,25473211.13824519,1.29564219,0.52677037,1
2024-03-22,37337430.98632045,1.8990103,0.52701726,1
2024-03-23,162961827.3517916,8.28794957,0.52841336,1
2024-03-24,12049332.17198943,0.61277456,0.52842853,1
2024-03-25,70044740.41489127,3.56200936,0.52897404,1
2024-03-26,25825042.64854242,1.31323388,0.52911504,1
2024-03-27,11935583.11538172,0.60691224,0.52912902,1
2024-03-28,41066768.92241172,2.0881025,0.52940921,1
2024-03-29,8904716.33708902,0.45275317,0.52939544,0
2024-03-30,5782729.74531216,0.29400378,0.52935315,0
2024-03-31,8108315.25707738,0.41222254,0.52933211,0
2024-04-01,72573996.33151934,3.68944847,0.52989966,1
2024-04-02,27066831.10989554,1.37593336,0.53005158,1
2024-04-03,10021503.48800122,0.50941682,0.53004788,0
2024-04-04,9579673.20038283,0.48693634,0.53004014,0
2024-04-05,6095175.78288579,0.30980411,0.53000061,0
2024-04-06,7294502.67738499,0.37074495,0.52997203,0
2024-04-07,5303967.91807513,0.26956096,0.52992531,0
2024-04-08,9581385.50766233,0.48692561,0.5299176,0
2024-04-09,11873308.23647959,0.60337305,0.52993077,1
2024-04-10,7816146.70775927,0.39717878,0.52990697,0
2024-04-11,6542669.76622026,0.3324529,0.52987157,0
2024-04-12,9292795.22279105,0.47217473,0.52986123,0
2024-04-13,5148030.11817643,0.26156211,0.52981315,0
2024-04-14,6630599.7194857,0.336872,0.52977858,0
2024-04-15,9872602.84525913,0.50156166,0.52977353,0
2024-04-16,24558419.57290195,1.24758551,0.5299021,1
2024-04-17,8928164.55494552,0.4535375,0.52988842,0
2024-04-18,21010918.15509245,1.06727431,0.52998464,1
2024-04-19,11728971.94072159,0.59575837,0.52999641,1
2024-04-20,2593972.50472681,0.13175483,0.52992513,0
2024-04-21,3501265.52819065,0.17783473,0.52986212,0
2024-04-22,5699934.31644638,0.28950155,0.52981911,0
2024-04-23,8094873.38499871,0.4111304,0.52979788,0
2024-04-24,22411431.99718489,1.13822571,0.5299067,1
2024-04-25,6892794.54306021,0.35006143,0.52987454,0
2024-04-26,7296199.05881799,0.3705412,0.52984605,0
2024-04-27,9006749.22432691,0.45740213,0.5298331,0
2024-04-28,7068876.80179831,0.35898051,0.52980256,0
2024-04-29,8991220.9666513,0.4565939,0.52978948,0
2024-04-30,15088463.8977114,0.76620811,0.52983172,1
2024-05-01,9743750.80286923,0.49478758,0.52982546,0
2024-05-02,7969463.82302239,0.40467999,0.52980311,0
2024-05-03,9207597.24625933,0.46754137,0.52979199,0
2024-05-04,3042554.45583948,0.15449071,0.52972498,0
2024-05-05,2532271.70166501,0.12857743,0.52965337,0
2024-05-06,9842385.26659681,0.49974262,0.52964803,0
2024-05-07,4889598.69606995,0.24826234,0.52959782,0
2024-05-08,7262983.06312273,0.36876008,0.52956912,0
2024-05-09,5228951.63962483,0.26548104,0.52952201,0
2024-05-10,4697295.52443693,0.23848264,0.5294701,0
2024-05-11,4597932.42643877,0.23343207,0.52941731,0
2024-05-12,8560839.59324876,0.43461549,0.52940041,0
2024-05-13,7030367.02005927,0.35690835,0.52936966,0
2024-05-14,9780966.17087537,0.49653641,0.52936381,0
2024-05-15,41283879.30902657,2.09575315,0.52964292,1
2024-05-16,7522651.92762656,0.38187463,0.52961659,0
2024-05-17,7968668.22076972,0.40450595,0.5295943,0
2024-05-18,3321765.03441002,0.16861618,0.52953001,0
2024-05-19,4832620.94817605,0.24530278,0.5294794,0
2024-05-20,9431382.50986808,0.47872306,0.52947036,0
2024-05-21,10902635.34242771,0.55338957,0.52947462,1
2024-05-22,17456653.03018023,0.88603306,0.52953808,1
2024-05-23,12238583.03846988,0.6211671,0.52955438,1
2024-05-24,8848348.85083712,0.44908497,0.52954006,0
2024-05-25,2549753.52722292,0.12940572,0.52946889,0
2024-05-26,6760738.93107179,0.34311354,0.52943575,0
2024-05-27,10622053.73501342,0.5390682,0.52943746,1
2024-05-28,518269161.94097334,26.3015509,0.53401917,1
2024-05-29,6540470.42192562,0.33191398,0.53398325,0
2024-05-30,8817859.82370298,0.44747757,0.53396788,0
2024-05-31,6287965.19708872,0.3190862,0.5339297,0
2024-06-01,4077038.69966261,0.20688691,0.5338716,0
2024-06-02,4710442.69982171,0.23902331,0.53381923,0
2024-06-03,16424413.46605084,0.83340787,0.53387243,1
2024-06-04,9319827.46519742,0.47289679,0.5338616,0
2024-06-05,10534087.92573884,0.53449909,0.53386171,1
2024-06-06,19064843.90048918,0.96732881,0.53393865,1
2024-06-07,7615724.45160467,0.38640462,0.53391247,0
2024-06-08,5655501.10724921,0.2869395,0.53386865,0
2024-06-09,4484859.63331106,0.2275399,0.53381431,0
2024-06-10,6321263.03513726,0.32070299,0.53377651,0
2024-06-11,46135977.71876529,2.34061725,0.53409693,1
2024-06-12,10638404.87694647,0.53970586,0.53409792,1
2024-06-13,4404627.12930674,0.2234497,0.53404285,0
2024-06-14,6773887.27367851,0.3436369,0.5340091,0
2024-06-15,9887802.40305413,0.50159405,0.53400336,0
2024-06-16,2469436.57835679,0.12526774,0.53393094,0
2024-06-17,10280090.4350218,0.52146921,0.53392873,0
2024-06-18,6101167.74653321,0.30948118,0.53388898,0
2024-06-19,5150169.00340941,0.26123618,0.5338407,0
2024-06-20,5490888.81218653,0.27851291,0.53379549,0
2024-06-21,11161879.42894394,0.56614852,0.53380122,1
2024-06-22,58310116.96317369,2.95751188,0.5342302,1
2024-06-23,3528006.77598909,0.1789387,0.53416733,0
2024-06-24,18823425.4888354,0.95469154,0.53424173,1
2024-06-25,7128407.12919527,0.36153336,0.53421118,0
2024-06-26,10327044.78278444,0.52374949,0.53420933,0
2024-06-27,45500154.70829141,2.30755188,0.53452292,1
2024-06-28,9795792.67217473,0.49678548,0.53451625,0
2024-06-29,2497212.12154104,0.12664089,0.53444415,0
2024-06-30,3769724.61156689,0.19117003,0.53438348,0
2024-07-01,8617031.55214619,0.43697657,0.53436627,0
2024-07-02,5771260.5591275,0.29265848,0.53432357,0
2024-07-03,25787873.50618382,1.30766301,0.53446018,1
2024-07-04,15246433.52365184,0.77310581,0.53450233,1
2024-07-05,42780277.97451445,2.16923207,0.534791,1
2024-07-06,3838699.96127447,0.19464137,0.53473095,0
2024-07-07,6416769.6858815,0.32535519,0.53469399,0
2024-07-08,5681343.16735504,0.28805895,0.53465046,0
2024-07-09,20558962.03112781,1.04236767,0.53474005,1
2024-07-10,16109596.66627144,0.81676125,0.53478981,1
2024-07-11,4558060.04976241,0.23108981,0.53473624,0
2024-07-12,8078883.07718839,0.40958285,0.53471417,0
2024-07-13,3507707.21538913,0.17782924,0.53465124,0
2024-07-14,6462275.52050774,0.32760749,0.53461474,0
2024-07-15,10154841.56545936,0.51479104,0.53461125,0
2024-07-16,8551421.30634543,0.43349692,0.53459343,0
2024-07-17,9966877.35599124,0.50523786,0.53458826,0
2024-07-18,15567621.41070948,0.78913292,0.53463311,1
2024-07-19,28177185.64503288,1.42828672,0.53479053,1
2024-07-20,3470540.64821485,0.17591528,0.53472733,0
