timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2025-03-26 07:00:00,87932.6500000000,88304.1000000000,87778.9600000000,88159.1800000000,196.8478081900,-230.2631049500,0.9708184700,0.0009857200,14.7297455900,0.0000007400
2025-03-26 08:00:00,88151.5000000000,88228.1100000000,87907.4500000000,87985.3900000000,138.4178371800,19.7110625500,0.9991566700,0.0019857300,14.7297455900,0.0000007400
2025-03-26 09:00:00,87985.3900000000,88080.4600000000,87851.3900000000,87969.4900000000,103.0639243600,-80.9531946100,0.9972910300,0.0029581500,14.7297455900,0.0000007400
2025-03-26 10:00:00,87969.5000000000,88302.7400000000,87966.0400000000,88244.6000000000,79.1812596600,-3334.0179091200,0.9746885300,0.0035260500,14.7297455900,0.0000007400
2025-03-26 11:00:00,88244.6000000000,88285.5500000000,87963.6200000000,87991.1000000000,158.5506073300,-300.7201414300,0.9995604000,0.0032080300,14.7297455900,0.0000007400
2025-03-26 12:00:00,87991.1000000000,88059.1300000000,87610.8300000000,87826.8000000000,209.1820942700,3562.3663456500,0.9991342200,0.0027294800,14.7297455900,0.0000007400
2025-03-26 13:00:00,87827.1800000000,87950.0000000000,86735.2800000000,86875.6000000000,469.1499587400,-375.3266167400,0.8962770900,0.0013397000,14.7297455900,0.0000007400
2025-03-26 14:00:00,86875.6000000000,87323.7300000000,86460.1900000000,86787.2500000000,764.3615270400,-311.3996912000,0.9992730800,-0.0015323700,14.7297455900,0.0000007400
2025-03-26 15:00:00,86787.2500000000,87032.4900000000,86571.2100000000,86760.1200000000,606.2700682900,-454.8044438800,0.9953850600,-0.0029767700,14.7297455900,0.0000007400
2025-03-26 16:00:00,86760.1100000000,87071.5500000000,86390.6700000000,86507.9500000000,398.5562679000,219.2219621100,0.9618650200,-0.0027731500,14.7297455900,0.0000007400
2025-03-26 17:00:00,86507.9500000000,86840.0600000000,86476.0100000000,86578.3600000000,321.4939249800,-176.3049599400,0.9997109100,-0.0017434000,14.7297455900,0.0000007400
2025-03-26 18:00:00,86573.9700000000,86765.8700000000,86172.0000000000,86209.2700000000,294.4114874200,129.4738455400,0.9937810300,0.0003886000,14.7297455900,0.0000007400
2025-03-26 19:00:00,86209.2700000000,86800.0000000000,85850.0000000000,86567.4700000000,562.3024356400,-69.4708108900,0.9960862000,0.0019269300,14.7297455900,0.0000007400
2025-03-26 20:00:00,86561.2100000000,87429.6900000000,86513.3100000000,87290.2300000000,856.4274773600,392.7093313100,0.9634788800,0.0038500800,14.7297455900,0.0000007400
2025-03-26 21:00:00,87296.0400000000,87318.1300000000,86721.2500000000,87121.1300000000,225.5150492500,51.5403081000,0.9994945900,0.0044714800,14.7297455900,0.0000007400
2025-03-26 22:00:00,87121.1200000000,87162.8600000000,86765.2800000000,86848.8100000000,206.0860959300,-43.4232132500,0.9994525800,0.0042751300,14.7297455900,0.0000007400
2025-03-26 23:00:00,86848.8200000000,86963.2200000000,86575.4100000000,86926.0100000000,217.6295685300,-88.0396822300,0.9994119100,0.0034628700,14.7297455900,0.0000007400
2025-03-27 00:00:00,86926.0100000000,87328.4800000000,86809.6000000000,87308.3100000000,241.3060382600,278.5281906400,0.9998649300,0.0025279200,11.2697092900,0.0000005700
2025-03-27 01:00:00,87308.3100000000,87542.7300000000,87195.8300000000,87395.1000000000,166.5585618100,-146.2467952400,0.9993261600,0.0004872000,11.2697092900,0.0000005700
2025-03-27 02:00:00,87395.1300000000,87790.1200000000,87352.3200000000,87594.4400000000,162.6558030400,-25.4246844700,0.9996992600,-0.0011596300,11.2697092900,0.0000005700
2025-03-27 03:00:00,87594.4300000000,87700.0000000000,87453.4100000000,87689.4400000000,116.6633890300,-151.2055801100,0.9454449300,-0.0007226000,11.2697092900,0.0000005700
2025-03-27 04:00:00,87695.6500000000,87722.7500000000,87439.6400000000,87550.7500000000,80.6987206200,-80.8344303700,1.0000000000,0.0012199800,11.2697092900,0.0000005700
2025-03-27 05:00:00,87550.7400000000,87550.7400000000,87277.0000000000,87331.5800000000,83.3027816900,335.8084450700,0.9688282500,0.0030776000,11.2697092900,0.0000005700
2025-03-27 06:00:00,87337.1100000000,87583.5300000000,87304.6400000000,87376.2300000000,75.5845018500,176.0858303900,0.9996270100,0.0047851700,11.2697092900,0.0000005700
2025-03-27 07:00:00,87376.2400000000,87461.3500000000,87270.3500000000,87433.2600000000,86.2973988300,-140.0516786400,0.9720412400,0.0052227700,11.2697092900,0.0000005700
2025-03-27 08:00:00,87433.2500000000,87617.0000000000,87272.1300000000,87457.3500000000,145.7070087400,-197.3253241200,0.9996972000,0.0056970200,11.2697092900,0.0000005700
2025-03-27 09:00:00,87457.3500000000,87553.8400000000,87402.0000000000,87430.0400000000,154.8450163500,-348.0060070600,0.9983145100,0.0047908200,11.2697092900,0.0000005700
2025-03-27 10:00:00,87430.0400000000,87605.9800000000,87126.5300000000,87206.1900000000,90.5579864600,303.4439358400,0.9900597900,0.0024062700,11.2697092900,0.0000005700
2025-03-27 11:00:00,87204.1300000000,87330.1600000000,86782.7500000000,86955.4300000000,142.6307871200,-130.3259249000,0.8429844000,0.0008043800,11.2697092900,0.0000005700
2025-03-27 12:00:00,86955.4300000000,87122.4400000000,86719.8500000000,86771.7300000000,151.0729217900,47.9113024500,0.9904794300,0.0010941000,11.2697092900,0.0000005700
2025-03-27 13:00:00,86767.1600000000,86870.1600000000,85784.0000000000,86383.3700000000,946.3384119600,-367.5041418200,0.9963138300,0.0006689300,11.2697092900,0.0000005700
2025-03-27 14:00:00,86383.3700000000,87316.6500000000,86178.9600000000,87298.8800000000,1032.2436265300,-277.8213632400,0.9929195800,-0.0018914800,11.2697092900,0.0000005700
2025-03-27 15:00:00,87290.7700000000,87575.7500000000,86735.3800000000,86952.0600000000,868.6565484600,-318.6480503600,0.9995384100,-0.0040242700,11.2697092900,0.0000005700
2025-03-27 16:00:00,86952.0700000000,87266.6300000000,86790.1800000000,86821.1400000000,341.5132101300,407.9813516800,0.9042634400,-0.0030074700,11.2697092900,0.0000005700
2025-03-27 17:00:00,86821.1400000000,87153.5200000000,86774.2000000000,86888.6000000000,369.1280622200,-172.9970210300,0.9426513800,-0.0020970000,11.2697092900,0.0000005700
2025-03-27 18:00:00,86888.6100000000,87434.3700000000,86850.7600000000,87188.8200000000,310.2865414000,95.1256331300,0.9950090100,-0.0023412200,11.2697092900,0.0000005700
2025-03-27 19:00:00,87193.9300000000,87426.8400000000,87009.9500000000,87059.5400000000,516.9111629700,-266.1613970300,0.9645294900,-0.0023573000,11.2697092900,0.0000005700
2025-03-27 20:00:00,87063.3800000000,87349.9600000000,86926.0200000000,87312.0600000000,259.1307172900,364.2629939700,0.9992019600,-0.0015772800,11.2697092900,0.0000005700
2025-03-27 21:00:00,87312.0500000000,87719.5000000000,87233.0500000000,87558.6900000000,247.1812605200,-173.2802905500,0.9994714700,-0.0002160800,11.2697092900,0.0000005700
2025-03-27 22:00:00,87429.6100000000,87474.5400000000,87289.0800000000,87333.0200000000,81.0012226100,-72.1128947300,0.8741707100,0.0007928800,11.2697092900,0.0000005700
