datetime,close,premium_index,price_change,z_score,position,trade,pnl,equity,drawdown
707,43508.06,,-111.67,-0.491597185,0,,0,1000000,0
708,43415.91,,-92.15,-0.409792506,0,,0,1000000,0
709,43368.67,,-47.24,-0.221583074,0,,0,1000000,0
710,43340.14,,-28.53,-0.143172954,0,,0,1000000,0
711,43357.13,,16.989999999997963,0.047592874461441434,0,,0,1000000,0
712,43423.72,,66.59000000000378,0.2554572220148307,0,,0,1000000,0
713,43324.55,,-99.17,-0.439212017,0,,0,1000000,0
714,43473.6,,149.04999999999563,0.6010316998222655,0,,0,1000000,0
715,43526.96,,53.36000000000058,0.20001275995572418,0,,0,1000000,0
716,43394.5,,-132.46,-0.578724197,0,,0,1000000,0
717,43291.84,,-102.66,-0.453837956,0,,0,1000000,0
718,43479.72,,187.88000000000466,0.7637609864250685,0,,0,1000000,0
719,43379.53,,-100.19,-0.443486647,0,,0,1000000,0
720,43498.18,,118.65000000000146,0.47363097067667925,0,,0,1000000,0
721,43397.58,,-100.6,-0.44520488,0,,0,1000000,0
722,43375.25,,-22.33,-0.117189911,0,,0,1000000,0
723,43548.62,,173.37000000000262,0.7029522831387833,0,,0,1000000,0
724,43552.07,,3.4499999999970896,-0.00915074,0,,0,1000000,0
725,43543.9,,-8.17,-0.057847992,0,,0,1000000,0
726,43329.94,,-213.96,-0.920275494,0,,0,1000000,0
727,42942.78,,-387.16,-1.646124385,0,,0,1000000,0
728,42931.91,,-10.87,-0.069163188,0,,0,1000000,0
729,42766.37,,-165.54,-0.717356306,0,,0,1000000,0
730,42865.75,,99.37999999999738,0.3928739953267964,0,,0,1000000,0
731,42916.64,,50.88999999999942,0.18966145071263843,0,,0,1000000,0
732,42947.49,,30.849999999998545,0.10567754899954139,0,,0,1000000,0
733,42959.35,,11.860000000000582,0.026094001418130605,0,,0,1000000,0
734,42955.26,,-4.09,-0.040749473,0,,0,1000000,0
735,43022.78,,67.52,0.25935467853142696,0,,0,1000000,0
736,42954.65,,-68.13,-0.309129167,0,,0,1000000,0
737,42622.95,,-331.7,-1.41370187,0,,0,1000000,0
738,42366.82,,-256.13,-1.097002097,0,,0,1000000,0
739,42618.1,,251.27999999999884,1.0294585597089823,0,,0,1000000,0
740,42595.38,,-22.72,-0.118824328,0,,0,1000000,0
741,42764.52,,169.13999999999942,0.6852251422083115,0,,0,1000000,0
